blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,30336,3231,50,10.0,439,86,0,12,14,11,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,29194,2706,49,9.8,360,72,1,14,12,17,53,14,1,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,235,875,58,38,427,164,22,142,117,120
1,33662,5519,52,10.4,422,80,0,16,14,18,44,22,1,0,2,4,2,1,1,0,0,0,1,0,0,31157,5710,50,10.0,385,85,1,14,16,15,59,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,62,245,202,43,85,429,555,142,122,517
1,35195,5365,50,10.0,412,80,1,18,15,25,49,12,0,0,0,1,0,0,1,0,1,1,0,0,0,30624,2934,49,9.8,390,100,0,15,18,18,36,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4,202,35,1,62,876,412,235,236,777
0,29915,1940,50,10.0,406,91,0,12,27,16,38,23,0,0,0,0,0,0,0,0,0,0,1,0,0,38852,4357,55,11.0,425,129,1,27,12,33,105,16,1,0,3,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,81,203,61,497,236,202,39,76,103,555
1,32389,2731,52,10.4,350,118,0,14,20,20,80,14,0,0,0,1,0,1,0,0,0,0,2,0,0,33540,3770,49,9.8,394,98,1,20,14,24,39,17,1,0,3,3,1,0,2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,76,164,84,43,81,104,236,235,875,4
1,54707,5957,80,16.0,187,0,0,34,37,86,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,52711,4678,78,15.6,202,0,1,37,34,105,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,498,30,154,3,427,40,42,523,64
1,52150,3050,77,15.4,213,0,0,28,41,64,41,0,0,0,0,2,2,0,0,0,0,0,0,0,0,54048,7865,80,16.0,221,0,1,41,28,82,3,14,1,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,222,235,43,61,105,41,7,360,22
1,52720,8055,77,15.4,209,0,0,31,27,78,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,51266,3128,76,15.2,193,0,1,27,31,66,164,0,1,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,21,117,119,412,222,555,110,157,143
1,52201,3161,80,16.0,210,0,0,40,43,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53229,2956,80,16.0,194,0,1,43,40,70,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,110,16,51,69,245,777,80,63,876
1,54557,6197,81,16.2,203,0,0,38,37,99,50,0,0,0,0,2,2,0,0,0,0,0,0,0,0,54331,3711,78,15.6,190,0,1,37,38,95,69,0,1,1,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,48,267,432,523,80,157,45,518,10
