blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,19970,2845,40,8.0,309,60,1,6,17,5,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,27367,1707,45,9.0,368,62,0,17,6,19,28,7,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,133,875,22,134,201,59,111,145,58,245
0,4300,1375,10,2.0,14,12,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5468,1813,11,2.2,24,18,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,33,267,876,11,107,236,157,235,102
1,20784,2544,43,8.6,288,83,0,5,9,3,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,21435,4910,43,8.6,284,63,1,9,5,7,18,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,523,75,412,876,236,81,16,203,78,777
0,24904,1629,42,8.4,275,74,1,13,9,14,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22480,2135,40,8.0,227,87,0,9,13,17,23,2,1,0,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,64,21,157,117,517,25,350,81,114,103
0,22422,2227,38,7.6,251,51,0,13,15,13,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,24375,4475,40,8.0,281,60,1,15,13,15,31,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40,60,246,126,22,80,202,104,7,117
0,22231,2066,41,8.2,311,72,0,10,11,9,58,6,0,0,0,0,0,0,0,0,0,0,1,0,0,25090,7320,43,8.6,328,59,1,11,10,11,89,14,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,236,76,39,555,81,432,51,84,64,157
0,24005,5400,41,8.2,315,68,0,10,11,14,25,15,0,0,0,1,0,0,1,0,0,0,0,0,0,23820,3792,41,8.2,309,76,1,11,10,13,25,5,1,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,875,412,51,30,236,497,517,29,120,164
1,23144,5554,43,8.6,335,79,0,7,10,10,27,8,0,0,0,0,0,0,0,0,1,1,1,0,0,23755,2132,45,9.0,350,92,1,10,7,14,65,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,104,875,69,89,51,412,236,202,76,164
1,23789,3209,44,8.8,362,85,0,7,4,3,35,9,1,0,1,1,0,1,0,0,1,1,1,0,0,21911,1186,42,8.4,359,75,1,4,7,4,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,119,142,203,126,876,84,58,51,117
1,23992,2547,42,8.4,330,76,1,8,7,9,26,8,1,0,3,1,0,0,1,0,1,1,0,0,0,21189,2719,41,8.2,314,73,0,7,8,8,26,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,517,67,64,122,43,8,523,876,875,39
